,date,continent,location,reproduction_rate
52,2020Q1,Africa,Togo,0.0
53,2020Q1,Africa,Tunisia,8.64
54,2020Q1,Africa,Uganda,0.0
55,2020Q1,Africa,Zambia,0.0
56,2020Q1,Africa,Zimbabwe,0.0
57,2020Q1,Asia,Afghanistan,4.54
58,2020Q1,Asia,Armenia,17.66
59,2020Q1,Asia,Azerbaijan,8.459999999999999
60,2020Q1,Asia,Bahrain,25.37
61,2020Q1,Asia,Bangladesh,0.0
62,2020Q1,Asia,Bhutan,0.0
63,2020Q1,Asia,Brunei,2.37
64,2020Q1,Asia,Cambodia,0.65
65,2020Q1,Asia,China,77.73
66,2020Q1,Asia,Georgia,1.0
67,2020Q1,Asia,Hong Kong,0.0
68,2020Q1,Asia,India,34.96
69,2020Q1,Asia,Indonesia,29.65
70,2020Q1,Asia,Iran,72.58
71,2020Q1,Asia,Iraq,26.02
72,2020Q1,Asia,Israel,45.4
73,2020Q1,Asia,Japan,54.96
74,2020Q1,Asia,Jordan,8.67
75,2020Q1,Asia,Kazakhstan,8.73
76,2020Q1,Asia,Kuwait,22.48
77,2020Q1,Asia,Kyrgyzstan,0.0
78,2020Q1,Asia,Laos,0.0
79,2020Q1,Asia,Lebanon,17.94
80,2020Q1,Asia,Malaysia,40.55
81,2020Q1,Asia,Maldives,0.0
82,2020Q1,Asia,Mongolia,0.0
83,2020Q1,Asia,Myanmar,0.0
84,2020Q1,Asia,Nepal,0.0
85,2020Q1,Asia,North Korea,0.0
86,2020Q1,Asia,Oman,6.74
87,2020Q1,Asia,Pakistan,30.77
88,2020Q1,Asia,Palestine,1.95
89,2020Q1,Asia,Philippines,35.94
90,2020Q1,Asia,Qatar,20.67
91,2020Q1,Asia,Saudi Arabia,33.36
92,2020Q1,Asia,Singapore,41.6
93,2020Q1,Asia,South Korea,60.08
94,2020Q1,Asia,Sri Lanka,5.69
95,2020Q1,Asia,Syria,0.0
96,2020Q1,Asia,Taiwan,11.97
97,2020Q1,Asia,Tajikistan,0.0
98,2020Q1,Asia,Thailand,27.22
99,2020Q1,Asia,Timor,0.0
100,2020Q1,Asia,Turkey,41.26
101,2020Q1,Asia,Turkmenistan,0.0
102,2020Q1,Asia,United Arab Emirates,24.47
103,2020Q1,Asia,Uzbekistan,4.69
104,2020Q1,Asia,Vietnam,6.92
105,2020Q1,Asia,Yemen,0.0
106,2020Q1,Europe,Albania,8.86
107,2020Q1,Europe,Andorra,9.26
108,2020Q1,Europe,Austria,47.27
109,2020Q1,Europe,Belarus,2.39
110,2020Q1,Europe,Belgium,54.55
111,2020Q1,Europe,Bosnia and Herzegovina,12.67
112,2020Q1,Europe,Bulgaria,13.04
113,2020Q1,Europe,Croatia,22.27
114,2020Q1,Europe,Cyprus,8.469999999999999
115,2020Q1,Europe,Czechia,34.46
116,2020Q1,Europe,Denmark,31.24
117,2020Q1,Europe,England,0.0
118,2020Q1,Europe,Estonia,23.4
119,2020Q1,Europe,Faeroe Islands,0.0
120,2020Q1,Europe,Finland,31.83
121,2020Q1,Europe,France,75.39
122,2020Q1,Europe,Germany,73.47
123,2020Q1,Europe,Gibraltar,0.0
124,2020Q1,Europe,Greece,23.490000000000002
125,2020Q1,Europe,Guernsey,0.0
126,2020Q1,Europe,Hungary,16.12
127,2020Q1,Europe,Iceland,28.759999999999998
128,2020Q1,Europe,Ireland,38.1
129,2020Q1,Europe,Isle of Man,0.0
130,2020Q1,Europe,Italy,80.03
131,2020Q1,Europe,Jersey,0.0
132,2020Q1,Europe,Kosovo,0.0
133,2020Q1,Europe,Latvia,13.54
134,2020Q1,Europe,Liechtenstein,0.0
135,2020Q1,Europe,Lithuania,9.78
136,2020Q1,Europe,Luxembourg,25.93
137,2020Q1,Europe,Malta,5.96
138,2020Q1,Europe,Moldova,12.97
139,2020Q1,Europe,Monaco,0.0
140,2020Q1,Europe,Montenegro,0.0
141,2020Q1,Europe,Netherlands,55.519999999999996
142,2020Q1,Europe,North Macedonia,11.93
143,2020Q1,Europe,Northern Ireland,0.0
144,2020Q1,Europe,Norway,47.86
145,2020Q1,Europe,Poland,36.39
146,2020Q1,Europe,Portugal,41.84
147,2020Q1,Europe,Romania,35.15
148,2020Q1,Europe,Russia,33.05
149,2020Q1,Europe,San Marino,13.379999999999999
150,2020Q1,Europe,Scotland,0.0
151,2020Q1,Europe,Serbia,24.04
152,2020Q1,Europe,Slovakia,15.43
153,2020Q1,Europe,Slovenia,22.990000000000002
154,2020Q1,Europe,Spain,68.1
155,2020Q1,Europe,Sweden,44.980000000000004
156,2020Q1,Europe,Switzerland,57.95
157,2020Q1,Europe,Ukraine,11.0
158,2020Q1,Europe,United Kingdom,64.37
159,2020Q1,Europe,Vatican,0.0
160,2020Q1,North America,Anguilla,0.0
161,2020Q1,North America,Antigua and Barbuda,0.0
162,2020Q1,North America,Aruba,0.0
163,2020Q1,North America,Bahamas,0.0
164,2020Q1,North America,Barbados,0.0
165,2020Q1,North America,Belize,0.0
166,2020Q1,North America,Bermuda,0.0
167,2020Q1,North America,Bonaire Sint Eustatius and Saba,0.0
168,2020Q1,North America,British Virgin Islands,0.0
169,2020Q1,North America,Canada,50.21
170,2020Q1,North America,Cayman Islands,0.0
171,2020Q1,North America,Costa Rica,10.860000000000001
172,2020Q1,North America,Cuba,4.1
173,2020Q1,North America,Curacao,0.0
174,2020Q1,North America,Dominica,0.0
175,2020Q1,North America,Dominican Republic,18.99
176,2020Q1,North America,El Salvador,0.0
177,2020Q1,North America,Greenland,0.0
178,2020Q1,North America,Grenada,0.0
179,2020Q1,North America,Guadeloupe,0.0
180,2020Q1,North America,Guatemala,0.0
181,2020Q1,North America,Haiti,0.0
182,2020Q1,North America,Honduras,2.64
183,2020Q1,North America,Jamaica,0.0
184,2020Q1,North America,Martinique,0.0
185,2020Q1,North America,Mexico,23.69
186,2020Q1,North America,Montserrat,0.0
187,2020Q1,North America,Nicaragua,0.0
188,2020Q1,North America,Panama,21.55
189,2020Q1,North America,Puerto Rico,0.0
190,2020Q1,North America,Saint Barthelemy,0.0
191,2020Q1,North America,Saint Kitts and Nevis,0.0
192,2020Q1,North America,Saint Lucia,0.0
193,2020Q1,North America,Saint Martin (French part),0.0
194,2020Q1,North America,Saint Pierre and Miquelon,0.0
195,2020Q1,North America,Saint Vincent and the Grenadines,0.0
196,2020Q1,North America,Sint Maarten (Dutch part),0.0
197,2020Q1,North America,Trinidad and Tobago,0.0
198,2020Q1,North America,Turks and Caicos Islands,0.0
199,2020Q1,North America,United States,83.58
200,2020Q1,North America,United States Virgin Islands,0.0
201,2020Q1,Oceania,American Samoa,0.0
202,2020Q1,Oceania,Australia,43.910000000000004
203,2020Q1,Oceania,Cook Islands,0.0
204,2020Q1,Oceania,Fiji,0.0
205,2020Q1,Oceania,French Polynesia,0.0
206,2020Q1,Oceania,Guam,0.0
207,2020Q1,Oceania,Kiribati,0.0
208,2020Q1,Oceania,Marshall Islands,0.0
209,2020Q1,Oceania,Micronesia (country),0.0
210,2020Q1,Oceania,Nauru,0.0
211,2020Q1,Oceania,New Caledonia,0.0
212,2020Q1,Oceania,New Zealand,16.28
213,2020Q1,Oceania,Niue,0.0
214,2020Q1,Oceania,Northern Mariana Islands,0.0
215,2020Q1,Oceania,Palau,0.0
216,2020Q1,Oceania,Papua New Guinea,0.0
217,2020Q1,Oceania,Pitcairn,0.0
218,2020Q1,Oceania,Samoa,0.0
219,2020Q1,Oceania,Solomon Islands,0.0
220,2020Q1,Oceania,Tokelau,0.0
221,2020Q1,Oceania,Tonga,0.0
222,2020Q1,Oceania,Tuvalu,0.0
223,2020Q1,Oceania,Vanuatu,0.0
224,2020Q1,Oceania,Wallis and Futuna,0.0
225,2020Q1,South America,Argentina,21.87
226,2020Q1,South America,Bolivia,0.0
227,2020Q1,South America,Brazil,40.3
228,2020Q1,South America,Chile,37.91
229,2020Q1,South America,Colombia,25.78
230,2020Q1,South America,Ecuador,21.99
231,2020Q1,South America,Falkland Islands,0.0
232,2020Q1,South America,French Guiana,0.0
233,2020Q1,South America,Guyana,0.0
234,2020Q1,South America,Paraguay,0.0
235,2020Q1,South America,Peru,27.43
236,2020Q1,South America,Suriname,0.0
237,2020Q1,South America,Uruguay,11.51
238,2020Q1,South America,Venezuela,4.39
239,2020Q2,Africa,Algeria,102.16
240,2020Q2,Africa,Angola,20.09
241,2020Q2,Africa,Benin,58.11000000000001
242,2020Q2,Africa,Botswana,1.13
243,2020Q2,Africa,Burkina Faso,78.59
244,2020Q2,Africa,Burundi,8.85
245,2020Q2,Africa,Cameroon,113.79
246,2020Q2,Africa,Cape Verde,74.15
247,2020Q2,Africa,Central African Republic,55.02
248,2020Q2,Africa,Chad,47.71
249,2020Q2,Africa,Comoros,27.27
250,2020Q2,Africa,Congo,66.67
251,2020Q2,Africa,Cote d'Ivoire,113.47999999999999
252,2020Q2,Africa,Democratic Republic of Congo,105.3
253,2020Q2,Africa,Djibouti,91.79
254,2020Q2,Africa,Egypt,116.21000000000001
255,2020Q2,Africa,Equatorial Guinea,35.59
256,2020Q2,Africa,Eritrea,8.49
257,2020Q2,Africa,Eswatini,68.89
258,2020Q2,Africa,Ethiopia,93.26
259,2020Q2,Africa,Gabon,88.92
260,2020Q2,Africa,Gambia,0.0
261,2020Q2,Africa,Ghana,122.85
262,2020Q2,Africa,Guinea,102.53
263,2020Q2,Africa,Guinea-Bissau,64.6
264,2020Q2,Africa,Kenya,108.91
265,2020Q2,Africa,Lesotho,0.0
266,2020Q2,Africa,Liberia,73.91
267,2020Q2,Africa,Libya,39.9
268,2020Q2,Africa,Madagascar,99.75
269,2020Q2,Africa,Malawi,51.86
270,2020Q2,Africa,Mali,85.37
271,2020Q2,Africa,Mauritania,57.47
272,2020Q2,Africa,Mauritius,19.58
273,2020Q2,Africa,Mayotte,0.0
274,2020Q2,Africa,Morocco,106.18
275,2020Q2,Africa,Mozambique,57.03
276,2020Q2,Africa,Namibia,7.68
277,2020Q2,Africa,Niger,71.59
278,2020Q2,Africa,Nigeria,118.1
279,2020Q2,Africa,Reunion,0.0
280,2020Q2,Africa,Rwanda,90.99
281,2020Q2,Africa,Saint Helena,0.0
282,2020Q2,Africa,Sao Tome and Principe,22.57
283,2020Q2,Africa,Senegal,107.23
284,2020Q2,Africa,Seychelles,0.0
285,2020Q2,Africa,Sierra Leone,67.06
286,2020Q2,Africa,Somalia,76.96
287,2020Q2,Africa,South Africa,124.56
288,2020Q2,Africa,South Sudan,40.72
289,2020Q2,Africa,Sudan,85.9
290,2020Q2,Africa,Tanzania,10.450000000000001
291,2020Q2,Africa,Togo,60.88
292,2020Q2,Africa,Tunisia,72.0
293,2020Q2,Africa,Uganda,58.59
294,2020Q2,Africa,Zambia,57.84
295,2020Q2,Africa,Zimbabwe,36.72
296,2020Q2,Asia,Afghanistan,119.07000000000001
297,2020Q2,Asia,Armenia,111.98
298,2020Q2,Asia,Azerbaijan,112.45
299,2020Q2,Asia,Bahrain,115.58
300,2020Q2,Asia,Bangladesh,125.19
301,2020Q2,Asia,Bhutan,0.0
302,2020Q2,Asia,Brunei,6.36
303,2020Q2,Asia,Cambodia,5.61
304,2020Q2,Asia,China,78.8
305,2020Q2,Asia,Georgia,86.39
306,2020Q2,Asia,Hong Kong,0.0
307,2020Q2,Asia,India,128.11
308,2020Q2,Asia,Indonesia,109.18
309,2020Q2,Asia,Iran,91.99
310,2020Q2,Asia,Iraq,120.5
311,2020Q2,Asia,Israel,96.69
312,2020Q2,Asia,Japan,90.58
313,2020Q2,Asia,Jordan,87.32
314,2020Q2,Asia,Kazakhstan,113.9
315,2020Q2,Asia,Kuwait,116.54
316,2020Q2,Asia,Kyrgyzstan,115.46
317,2020Q2,Asia,Laos,0.0
318,2020Q2,Asia,Lebanon,100.21000000000001
319,2020Q2,Asia,Malaysia,76.84
320,2020Q2,Asia,Maldives,75.69
321,2020Q2,Asia,Mongolia,23.73
322,2020Q2,Asia,Myanmar,45.83
323,2020Q2,Asia,Nepal,86.09
324,2020Q2,Asia,North Korea,0.0
325,2020Q2,Asia,Oman,121.52
326,2020Q2,Asia,Pakistan,117.92
327,2020Q2,Asia,Palestine,112.17
328,2020Q2,Asia,Philippines,104.08
329,2020Q2,Asia,Qatar,116.74
330,2020Q2,Asia,Saudi Arabia,117.94
331,2020Q2,Asia,Singapore,103.95
332,2020Q2,Asia,South Korea,86.81
333,2020Q2,Asia,Sri Lanka,97.65
334,2020Q2,Asia,Syria,30.490000000000002
335,2020Q2,Asia,Taiwan,26.64
336,2020Q2,Asia,Tajikistan,67.23
337,2020Q2,Asia,Thailand,70.47
338,2020Q2,Asia,Timor,0.0
339,2020Q2,Asia,Turkey,95.19
340,2020Q2,Asia,Turkmenistan,0.0
341,2020Q2,Asia,United Arab Emirates,106.64
342,2020Q2,Asia,Uzbekistan,111.53
343,2020Q2,Asia,Vietnam,39.73
344,2020Q2,Asia,Yemen,51.83
345,2020Q2,Europe,Albania,101.93
346,2020Q2,Europe,Andorra,47.48
347,2020Q2,Europe,Austria,76.33
348,2020Q2,Europe,Belarus,115.95
349,2020Q2,Europe,Belgium,83.82
350,2020Q2,Europe,Bosnia and Herzegovina,107.22
351,2020Q2,Europe,Bulgaria,104.77
352,2020Q2,Europe,Croatia,93.9
353,2020Q2,Europe,Cyprus,76.62
354,2020Q2,Europe,Czechia,90.29
355,2020Q2,Europe,Denmark,82.21
356,2020Q2,Europe,England,0.0
357,2020Q2,Europe,Estonia,73.76
358,2020Q2,Europe,Faeroe Islands,0.0
359,2020Q2,Europe,Finland,75.58
360,2020Q2,Europe,France,80.25
361,2020Q2,Europe,Germany,77.79
362,2020Q2,Europe,Gibraltar,0.0
363,2020Q2,Europe,Greece,78.09
364,2020Q2,Europe,Guernsey,0.0
365,2020Q2,Europe,Hungary,82.16
366,2020Q2,Europe,Iceland,52.18
367,2020Q2,Europe,Ireland,74.19
368,2020Q2,Europe,Isle of Man,0.0
369,2020Q2,Europe,Italy,71.55
370,2020Q2,Europe,Jersey,0.0
371,2020Q2,Europe,Kosovo,108.77
372,2020Q2,Europe,Latvia,77.65
373,2020Q2,Europe,Liechtenstein,0.0
374,2020Q2,Europe,Lithuania,79.13
375,2020Q2,Europe,Luxembourg,83.17999999999999
376,2020Q2,Europe,Malta,78.7
377,2020Q2,Europe,Moldova,108.04
378,2020Q2,Europe,Monaco,3.29
379,2020Q2,Europe,Montenegro,47.3
380,2020Q2,Europe,Netherlands,75.84
381,2020Q2,Europe,North Macedonia,105.62
382,2020Q2,Europe,Northern Ireland,0.0
383,2020Q2,Europe,Norway,74.04
384,2020Q2,Europe,Poland,95.95
385,2020Q2,Europe,Portugal,95.57000000000001
386,2020Q2,Europe,Romania,96.53
387,2020Q2,Europe,Russia,117.97
388,2020Q2,Europe,San Marino,51.76
389,2020Q2,Europe,Scotland,0.0
390,2020Q2,Europe,Serbia,99.09
391,2020Q2,Europe,Slovakia,87.76
392,2020Q2,Europe,Slovenia,86.01
393,2020Q2,Europe,Spain,78.17
394,2020Q2,Europe,Sweden,100.14
395,2020Q2,Europe,Switzerland,73.78
396,2020Q2,Europe,Ukraine,113.5
397,2020Q2,Europe,United Kingdom,85.48
398,2020Q2,Europe,Vatican,0.0
399,2020Q2,Europe,Wales,0.0
400,2020Q2,North America,Anguilla,0.0
401,2020Q2,North America,Antigua and Barbuda,0.0
402,2020Q2,North America,Aruba,0.0
403,2020Q2,North America,Bahamas,16.09
404,2020Q2,North America,Barbados,0.0
405,2020Q2,North America,Belize,0.0
406,2020Q2,North America,Bermuda,0.0
407,2020Q2,North America,Bonaire Sint Eustatius and Saba,0.0
408,2020Q2,North America,British Virgin Islands,0.0
409,2020Q2,North America,Canada,88.52
410,2020Q2,North America,Cayman Islands,0.0
411,2020Q2,North America,Costa Rica,107.75
412,2020Q2,North America,Cuba,84.17
413,2020Q2,North America,Curacao,0.0
414,2020Q2,North America,Dominica,0.0
415,2020Q2,North America,Dominican Republic,111.34
416,2020Q2,North America,El Salvador,100.5
417,2020Q2,North America,Greenland,0.0
418,2020Q2,North America,Grenada,0.0
419,2020Q2,North America,Guadeloupe,0.0
420,2020Q2,North America,Guatemala,108.44
421,2020Q2,North America,Haiti,70.14
422,2020Q2,North America,Honduras,117.58
423,2020Q2,North America,Jamaica,70.98
424,2020Q2,North America,Martinique,0.0
425,2020Q2,North America,Mexico,122.31
426,2020Q2,North America,Montserrat,0.0
427,2020Q2,North America,Nicaragua,34.4
428,2020Q2,North America,Panama,112.56
429,2020Q2,North America,Puerto Rico,0.0
430,2020Q2,North America,Saint Barthelemy,0.0
431,2020Q2,North America,Saint Kitts and Nevis,0.0
432,2020Q2,North America,Saint Lucia,0.0
433,2020Q2,North America,Saint Martin (French part),0.0
434,2020Q2,North America,Saint Pierre and Miquelon,0.0
435,2020Q2,North America,Saint Vincent and the Grenadines,0.0
436,2020Q2,North America,Sint Maarten (Dutch part),0.0
437,2020Q2,North America,Trinidad and Tobago,5.75
438,2020Q2,North America,Turks and Caicos Islands,0.0
439,2020Q2,North America,United States,98.3
440,2020Q2,North America,United States Virgin Islands,0.0
441,2020Q2,Oceania,American Samoa,0.0
442,2020Q2,Oceania,Australia,82.99
443,2020Q2,Oceania,Cook Islands,0.0
444,2020Q2,Oceania,Fiji,0.0
445,2020Q2,Oceania,French Polynesia,0.0
446,2020Q2,Oceania,Guam,0.0
447,2020Q2,Oceania,Kiribati,0.0
448,2020Q2,Oceania,Marshall Islands,0.0
449,2020Q2,Oceania,Micronesia (country),0.0
450,2020Q2,Oceania,Nauru,0.0
451,2020Q2,Oceania,New Caledonia,0.0
452,2020Q2,Oceania,New Zealand,54.27
453,2020Q2,Oceania,Niue,0.0
454,2020Q2,Oceania,Northern Mariana Islands,0.0
455,2020Q2,Oceania,Palau,0.0
456,2020Q2,Oceania,Papua New Guinea,0.0
457,2020Q2,Oceania,Pitcairn,0.0
458,2020Q2,Oceania,Samoa,0.0
459,2020Q2,Oceania,Solomon Islands,0.0
460,2020Q2,Oceania,Tokelau,0.0
461,2020Q2,Oceania,Tonga,0.0
462,2020Q2,Oceania,Tuvalu,0.0
463,2020Q2,Oceania,Vanuatu,0.0
464,2020Q2,Oceania,Wallis and Futuna,0.0
465,2020Q2,South America,Argentina,117.31
466,2020Q2,South America,Bolivia,123.09
467,2020Q2,South America,Brazil,127.82
468,2020Q2,South America,Chile,115.31
469,2020Q2,South America,Colombia,119.5
470,2020Q2,South America,Ecuador,112.08999999999999
471,2020Q2,South America,Falkland Islands,0.0
472,2020Q2,South America,French Guiana,0.0
473,2020Q2,South America,Guyana,31.82
474,2020Q2,South America,Paraguay,106.19
475,2020Q2,South America,Peru,122.18
476,2020Q2,South America,Suriname,28.07
477,2020Q2,South America,Uruguay,85.72
478,2020Q2,South America,Venezuela,113.89
479,2020Q3,Africa,Algeria,91.01
480,2020Q3,Africa,Angola,110.61
481,2020Q3,Africa,Benin,89.48
482,2020Q3,Africa,Botswana,81.73
483,2020Q3,Africa,Burkina Faso,97.7
484,2020Q3,Africa,Burundi,63.91
485,2020Q3,Africa,Cameroon,87.78
486,2020Q3,Africa,Cape Verde,99.84
487,2020Q3,Africa,Central African Republic,56.32
488,2020Q3,Africa,Chad,85.67
489,2020Q3,Africa,Comoros,64.54
490,2020Q3,Africa,Congo,56.97
491,2020Q3,Africa,Cote d'Ivoire,82.41
492,2020Q3,Africa,Democratic Republic of Congo,91.01
493,2020Q3,Africa,Djibouti,70.03
494,2020Q3,Africa,Egypt,75.75
495,2020Q3,Africa,Equatorial Guinea,30.65
496,2020Q3,Africa,Eritrea,29.7
497,2020Q3,Africa,Eswatini,93.53
498,2020Q3,Africa,Ethiopia,96.09
499,2020Q3,Africa,Gabon,86.89
500,2020Q3,Africa,Gambia,75.8
501,2020Q3,Africa,Ghana,92.48
502,2020Q3,Africa,Guinea,93.42
503,2020Q3,Africa,Guinea-Bissau,57.160000000000004
504,2020Q3,Africa,Kenya,92.04
505,2020Q3,Africa,Lesotho,92.81
506,2020Q3,Africa,Liberia,63.93
507,2020Q3,Africa,Libya,115.38
508,2020Q3,Africa,Madagascar,87.3
509,2020Q3,Africa,Malawi,81.25
510,2020Q3,Africa,Mali,92.23
511,2020Q3,Africa,Mauritania,76.46
512,2020Q3,Africa,Mauritius,15.01
513,2020Q3,Africa,Mayotte,0.0
514,2020Q3,Africa,Morocco,108.83
515,2020Q3,Africa,Mozambique,108.36
516,2020Q3,Africa,Namibia,105.82
517,2020Q3,Africa,Niger,66.75
518,2020Q3,Africa,Nigeria,86.21000000000001
519,2020Q3,Africa,Reunion,0.0
520,2020Q3,Africa,Rwanda,92.18
521,2020Q3,Africa,Saint Helena,0.0
522,2020Q3,Africa,Sao Tome and Principe,48.33
523,2020Q3,Africa,Senegal,85.82000000000001
524,2020Q3,Africa,Seychelles,12.93
525,2020Q3,Africa,Sierra Leone,88.91
526,2020Q3,Africa,Somalia,59.9
527,2020Q3,Africa,South Africa,83.74
528,2020Q3,Africa,South Sudan,81.33
529,2020Q3,Africa,Sudan,91.03
530,2020Q3,Africa,Tanzania,1.73
531,2020Q3,Africa,Togo,99.10000000000001
532,2020Q3,Africa,Tunisia,130.41
533,2020Q3,Africa,Uganda,114.59
534,2020Q3,Africa,Zambia,79.02
535,2020Q3,Africa,Zimbabwe,102.82
536,2020Q3,Asia,Afghanistan,81.28
537,2020Q3,Asia,Armenia,88.58
538,2020Q3,Asia,Azerbaijan,82.73
539,2020Q3,Asia,Bahrain,92.85
540,2020Q3,Asia,Bangladesh,85.95
541,2020Q3,Asia,Bhutan,44.18
542,2020Q3,Asia,Brunei,0.0
543,2020Q3,Asia,Cambodia,24.6
544,2020Q3,Asia,China,95.95
545,2020Q3,Asia,Georgia,123.82
546,2020Q3,Asia,Hong Kong,0.0
547,2020Q3,Asia,India,103.37
548,2020Q3,Asia,Indonesia,100.91
549,2020Q3,Asia,Iran,94.0
550,2020Q3,Asia,Iraq,97.96000000000001
551,2020Q3,Asia,Israel,109.6
552,2020Q3,Asia,Japan,104.98
553,2020Q3,Asia,Jordan,124.89999999999999
554,2020Q3,Asia,Kazakhstan,79.42
555,2020Q3,Asia,Kuwait,91.79
556,2020Q3,Asia,Kyrgyzstan,80.6
557,2020Q3,Asia,Laos,0.0
558,2020Q3,Asia,Lebanon,118.91
559,2020Q3,Asia,Malaysia,114.48
560,2020Q3,Asia,Maldives,101.16
561,2020Q3,Asia,Mongolia,26.85
562,2020Q3,Asia,Myanmar,129.15
563,2020Q3,Asia,Nepal,101.44
564,2020Q3,Asia,North Korea,0.0
565,2020Q3,Asia,Oman,94.28
566,2020Q3,Asia,Pakistan,80.36
567,2020Q3,Asia,Palestine,104.67
568,2020Q3,Asia,Philippines,101.86
569,2020Q3,Asia,Qatar,81.81
570,2020Q3,Asia,Saudi Arabia,78.69
571,2020Q3,Asia,Singapore,76.67
572,2020Q3,Asia,South Korea,98.76
573,2020Q3,Asia,Sri Lanka,89.21
574,2020Q3,Asia,Syria,106.33
575,2020Q3,Asia,Taiwan,69.23
576,2020Q3,Asia,Tajikistan,89.85
577,2020Q3,Asia,Thailand,93.11
578,2020Q3,Asia,Timor,0.0
579,2020Q3,Asia,Turkey,93.48
580,2020Q3,Asia,Turkmenistan,0.0
581,2020Q3,Asia,United Arab Emirates,97.65
582,2020Q3,Asia,Uzbekistan,98.07
583,2020Q3,Asia,Vietnam,71.58
584,2020Q3,Asia,Yemen,77.16
585,2020Q3,Europe,Albania,98.77
586,2020Q3,Europe,Andorra,109.47
587,2020Q3,Europe,Austria,112.05
588,2020Q3,Europe,Belarus,89.62
589,2020Q3,Europe,Belgium,114.16
590,2020Q3,Europe,Bosnia and Herzegovina,103.6
591,2020Q3,Europe,Bulgaria,97.17
592,2020Q3,Europe,Croatia,104.76
593,2020Q3,Europe,Cyprus,115.65
594,2020Q3,Europe,Czechia,115.17
595,2020Q3,Europe,Denmark,116.18
596,2020Q3,Europe,England,0.0
597,2020Q3,Europe,Estonia,114.33
598,2020Q3,Europe,Faeroe Islands,0.0
599,2020Q3,Europe,Finland,111.95
600,2020Q3,Europe,France,118.76
601,2020Q3,Europe,Germany,102.92999999999999
602,2020Q3,Europe,Gibraltar,0.0
603,2020Q3,Europe,Greece,113.61
604,2020Q3,Europe,Guernsey,0.0
605,2020Q3,Europe,Hungary,128.97
606,2020Q3,Europe,Iceland,117.88
607,2020Q3,Europe,Ireland,118.38
608,2020Q3,Europe,Isle of Man,0.0
609,2020Q3,Europe,Italy,107.01
610,2020Q3,Europe,Jersey,0.0
611,2020Q3,Europe,Kosovo,91.03
612,2020Q3,Europe,Latvia,114.69
613,2020Q3,Europe,Liechtenstein,27.77
614,2020Q3,Europe,Lithuania,108.6
615,2020Q3,Europe,Luxembourg,107.78
616,2020Q3,Europe,Malta,87.48
617,2020Q3,Europe,Moldova,98.84
618,2020Q3,Europe,Monaco,79.23
619,2020Q3,Europe,Montenegro,103.57
620,2020Q3,Europe,Netherlands,117.52
621,2020Q3,Europe,North Macedonia,92.79
622,2020Q3,Europe,Northern Ireland,0.0
623,2020Q3,Europe,Norway,109.62
624,2020Q3,Europe,Poland,102.38
625,2020Q3,Europe,Portugal,98.69
626,2020Q3,Europe,Romania,103.4
627,2020Q3,Europe,Russia,91.96
628,2020Q3,Europe,San Marino,16.59
629,2020Q3,Europe,Scotland,0.0
630,2020Q3,Europe,Serbia,87.26
631,2020Q3,Europe,Slovakia,122.79
